name,appid,genre
Sven Co-op,225840,Indie
POSTAL,232770,Action
POSTAL,232770,Indie
Fallout: New Vegas,22380,Action
Fallout: New Vegas,22380,RPG
Day of Defeat: Source,300,Action
Battlefield V,1238810,Action
Hunt: Showdown,594650,Action
HITMAN 2,863550,Action
Infestation: The New Z,555570,Action
Infestation: The New Z,555570,Free to Play
Infestation: The New Z,555570,Indie
Infestation: The New Z,555570,Massively Multiplayer
Infestation: The New Z,555570,RPG
The Elder Scrolls Online,306130,Action
The Elder Scrolls Online,306130,Adventure
The Elder Scrolls Online,306130,Massively Multiplayer
The Elder Scrolls Online,306130,RPG
BioShock Infinite,8870,Action
Mount & Blade II: Bannerlord,261550,Action
Mount & Blade II: Bannerlord,261550,Indie
Mount & Blade II: Bannerlord,261550,RPG
Mount & Blade II: Bannerlord,261550,Simulation
Mount & Blade II: Bannerlord,261550,Strategy
Chivalry: Medieval Warfare,219640,Action
Chivalry: Medieval Warfare,219640,Indie
World of Tanks,1407200,Action
World of Tanks,1407200,Free to Play
World of Tanks,1407200,Massively Multiplayer
World of Tanks,1407200,Simulation
Half-Life 2: Episode Two,420,Action
MultiVersus,1818750,Action
MultiVersus,1818750,Free to Play
Loadout,208090,Action
Loadout,208090,Free to Play
Loadout,208090,Indie
MORDHAU,629760,Action
MORDHAU,629760,Indie
Half-Life: Opposing Force,50,Action
Vampire Survivors,1794680,Action
Vampire Survivors,1794680,Casual
Vampire Survivors,1794680,Indie
Vampire Survivors,1794680,RPG
It Takes Two,1426210,Action
It Takes Two,1426210,Adventure
APB Reloaded,113400,Action
APB Reloaded,113400,Free to Play
APB Reloaded,113400,Massively Multiplayer
FOR HONOR,304390,Action
Freestyle 2: Street Basketball,339610,Action
Freestyle 2: Street Basketball,339610,Casual
Freestyle 2: Street Basketball,339610,Free to Play
Freestyle 2: Street Basketball,339610,Massively Multiplayer
Freestyle 2: Street Basketball,339610,Sports
Borderlands Game of the Year,8980,Action
Borderlands Game of the Year,8980,RPG
Devil May Cry 5,601150,Action
DOOM,379720,Action
Splitgate: Arena Warfare,677620,Action
Splitgate: Arena Warfare,677620,Free to Play
Splitgate: Arena Warfare,677620,Indie
Left 4 Dead,500,Action
Saints Row IV: Re-Elected,206420,Action
Saints Row IV: Re-Elected,206420,Adventure
Outlast,238320,Action
Outlast,238320,Adventure
Outlast,238320,Indie
"Star Wars: Battlefront 2 (Classic, 2005)",6060,Action
Killing Floor,1250,Action
Fistful of Frags,265630,Action
Fistful of Frags,265630,Free to Play
Fistful of Frags,265630,Indie
Guacamelee! Super Turbo Championship Edition,275390,Action
Guacamelee! Super Turbo Championship Edition,275390,Adventure
Guacamelee! Super Turbo Championship Edition,275390,Indie
Cry of Fear,223710,Action
Cry of Fear,223710,Adventure
Cry of Fear,223710,Indie
Mount & Blade: Warband,48700,Action
Mount & Blade: Warband,48700,RPG
Starbound,211820,Action
Starbound,211820,Adventure
Starbound,211820,Casual
Starbound,211820,Indie
Starbound,211820,RPG
Warhammer: Vermintide 2,552500,Action
Warhammer: Vermintide 2,552500,Indie
Middle-earth: Shadow of War,356190,Action
Middle-earth: Shadow of War,356190,Adventure
Middle-earth: Shadow of War,356190,RPG
Saints Row: The Third,55230,Action
Dying Light 2 Stay Human,534380,Action
Dying Light 2 Stay Human,534380,Adventure
Dying Light 2 Stay Human,534380,RPG
Gene Shift Auto,308600,Action
Gene Shift Auto,308600,Free to Play
Gene Shift Auto,308600,Indie
Gene Shift Auto,308600,Massively Multiplayer
Gene Shift Auto,308600,Racing
Gene Shift Auto,308600,Early Access
Cuphead,268910,Action
Cuphead,268910,Indie
Total War: THREE KINGDOMS,779340,Action
Total War: THREE KINGDOMS,779340,Strategy
Just Cause 2,8190,Action
Just Cause 2,8190,Adventure
DOOM Eternal,782330,Action
Magicka,42910,Action
Magicka,42910,RPG
Survarium,355840,Action
Survarium,355840,Free to Play
Survarium,355840,Massively Multiplayer
Survarium,355840,RPG
Survarium,355840,Early Access
ARK: Survival Of The Fittest,407530,Action
ARK: Survival Of The Fittest,407530,Adventure
ARK: Survival Of The Fittest,407530,Indie
ARK: Survival Of The Fittest,407530,Massively Multiplayer
ARK: Survival Of The Fittest,407530,RPG
ARK: Survival Of The Fittest,407530,Strategy
Alien Swarm,630,Action
SCUM,513710,Action
SCUM,513710,Adventure
SCUM,513710,Indie
SCUM,513710,Massively Multiplayer
SCUM,513710,Early Access
Battlerite,504370,Action
Battlerite,504370,Free to Play
Amnesia: The Dark Descent,57300,Action
Amnesia: The Dark Descent,57300,Adventure
Amnesia: The Dark Descent,57300,Indie
The Cycle,868270,Action
The Cycle,868270,Free to Play
The Cycle,868270,Massively Multiplayer
Insurgency,222880,Action
Insurgency,222880,Indie
Insurgency,222880,Strategy
Realm of the Mad God Exalt,200210,Action
Realm of the Mad God Exalt,200210,Free to Play
Realm of the Mad God Exalt,200210,Indie
Realm of the Mad God Exalt,200210,Massively Multiplayer
Realm of the Mad God Exalt,200210,RPG
"Warhammer 40,000: Space Marine - Anniversary Edition",55150,Action
God of War,1593500,Action
God of War,1593500,Adventure
God of War,1593500,RPG
Arma 2: Operation Arrowhead,33930,Action
Arma 2: Operation Arrowhead,33930,Simulation
Arma 2: Operation Arrowhead,33930,Strategy
PAYDAY The Heist,24240,Action
Rise of the Tomb Raider,391220,Action
Rise of the Tomb Raider,391220,Adventure
Wolfenstein: Youngblood,1056960,Action
Killing Floor 2,232090,Action
People Playground,1118200,Action
People Playground,1118200,Casual
People Playground,1118200,Indie
People Playground,1118200,Simulation
Sniper Elite V2,63380,Action
Far Cry 3,220240,Action
Far Cry 3,220240,Adventure
Call of Duty: Modern Warfare 3,115300,Action
LIMBO,48000,Action
LIMBO,48000,Adventure
LIMBO,48000,Indie
The Lord of the Rings Online,212500,Action
The Lord of the Rings Online,212500,Adventure
The Lord of the Rings Online,212500,Free to Play
The Lord of the Rings Online,212500,Massively Multiplayer
The Lord of the Rings Online,212500,RPG
BLOCKADE 3D,302830,Action
BLOCKADE 3D,302830,Free to Play
BLOCKADE 3D,302830,Early Access
Dead Frontier 2,744900,Action
Dead Frontier 2,744900,Free to Play
Dead Frontier 2,744900,Indie
Dead Frontier 2,744900,Massively Multiplayer
Dead Frontier 2,744900,RPG
BioShock,7670,Action
BioShock,7670,RPG
Call of Duty: Black Ops II,202970,Action
Space Engineers,244850,Action
Space Engineers,244850,Indie
Space Engineers,244850,Simulation
Space Engineers,244850,Strategy
Crossout,386180,Action
Crossout,386180,Free to Play
Crossout,386180,Massively Multiplayer
Crossout,386180,Racing
Last Man Standing,506540,Action
Last Man Standing,506540,Adventure
Last Man Standing,506540,Free to Play
Last Man Standing,506540,Indie
Last Man Standing,506540,Massively Multiplayer
Last Man Standing,506540,Strategy
EVE Online,8500,Action
EVE Online,8500,Free to Play
EVE Online,8500,Massively Multiplayer
EVE Online,8500,RPG
EVE Online,8500,Strategy
Dead Cells,588650,Action
Dead Cells,588650,Adventure
Dead Cells,588650,Indie
Torchlight II,200710,Action
Torchlight II,200710,Adventure
Torchlight II,200710,Indie
Torchlight II,200710,RPG
