,appid,name,developer,publisher,positive,negative,avg_owners,average_forever,average_2weeks,median_forever,median_2weeks,price,ccu,positive_ratio,genre_Action,genre_Strategy,genre_RPG,genre_Indie,genre_Adventure,genre_Sports,genre_Simulation,genre_Early+Access,genre_Ex+Early+Access,genre_Massively,genre_Free
9521,431540,Frosty Kiss,"2Chance Projects, IIchan Eroge Team",2Chance Projects,1289,138,150000,32,0,41,0,0,2,0.9032936229852838,0,0,0,1,1,0,0,0,0,0,1
9522,749250,7th Sector,Носков Сергей,Носков Сергей,444,146,150000,24,0,24,0,389,3,0.752542372881356,0,0,0,1,1,0,0,0,0,0,0
9523,1011190,SIMULACRA 2,Kaigan Games,Neon Doctrine,1169,165,150000,311,0,311,0,319,6,0.876311844077961,0,0,0,1,0,0,1,0,0,0,0
9524,347620,Gaokao.Love.100Days,"高考恋爱委员会, 橘子班",NVLMaker,6504,377,150000,1505,0,743,0,599,19,0.9452114518238628,0,0,0,1,1,0,1,0,0,0,0
9525,658560,Zup! 7,Quiet River,Quiet River,1860,86,150000,148,0,115,0,199,3,0.9558067831449126,0,0,0,1,0,0,0,0,0,0,0
9526,1029890,Layers of Fear 2 (2019),Bloober Team SA,"Bloober Team SA, NA Publishing",1585,616,150000,289,0,382,0,1999,4,0.7201272149023171,0,0,0,1,1,0,0,0,0,0,0
9527,905340,Heave Ho,Le Cartel Studio,Devolver Digital,1863,172,150000,213,75,242,75,399,28,0.9154791154791154,0,0,0,1,1,0,0,0,0,0,0
9528,1287260,BarnFinders: The Pilot,Duality Games,Duality Games,455,41,150000,38,0,47,0,0,1,0.9173387096774194,0,0,0,1,1,0,1,0,0,0,0
9529,610360,Zup! Zero,Quiet River,Quiet River,2309,158,150000,141,0,118,0,199,1,0.9359546007296312,0,0,0,1,0,0,0,0,0,0,0
9530,774201,Heaven's Vault,inkle Ltd,inkle Ltd,1531,196,150000,1094,0,983,0,749,16,0.8865083960625362,0,0,0,1,1,0,0,0,0,0,0
9531,1458100,Cozy Grove,Spry Fox LLC, Spry Fox LLC,5480,595,150000,1177,308,834,415,749,314,0.9020576131687242,0,0,0,1,0,0,0,0,0,0,0
9532,768750,MonteCrypto: The Bitcoin Enigma,"Gem Rose Accent, Corentin Derbré",Gem Rose Accent,128,145,150000,323,0,323,0,199,0,0.4688644688644688,0,0,0,1,1,0,1,0,0,1,0
9533,1118240,Lake,Gamious,"Whitethorn Games, Gamious",2361,367,150000,54,0,62,0,1199,31,0.8654692082111437,0,0,0,1,1,0,0,0,0,0,0
9534,1544360,LEGO Builder's Journey,Light Brick Studio,LEGO® Games,2401,502,150000,57,36,87,36,679,11,0.8270754392008267,0,0,0,1,1,0,0,0,0,0,0
9535,1900340,Ten Trials of Babel: The Doppelganger Maze,红渊,NVLMaker,2746,208,150000,409,0,409,0,269,23,0.929587000677048,0,0,0,1,1,0,0,0,0,0,0
9536,2124780,Endoparasitic,Narayan Walters,Narayan Walters,1535,106,150000,281,0,285,0,999,6,0.935405240706886,0,0,0,1,0,0,0,0,0,0,0
9537,40930,The Misadventures of P.B. Winterbottom,The Odd Gentlemen,2K,383,50,150000,89,0,118,0,99,0,0.8845265588914549,0,0,0,1,1,0,0,0,0,0,0
9538,321840,Rising Angels: Reborn,IDHAS Studios,Sekai Project,469,114,150000,54,0,94,0,0,0,0.8044596912521441,0,0,0,1,1,0,1,0,0,0,1
9539,368950,Jigoku Kisetsukan: Sense of the Seasons,Emad,Emad,1628,118,150000,88,0,49,0,0,1,0.9324169530355098,0,0,0,1,0,0,0,0,0,0,1
9540,274250,OlliOlli,"Roll7, General Arcade",Devolver Digital,665,181,150000,64,0,32,0,259,1,0.7860520094562647,0,0,0,1,0,1,0,0,0,0,0
9541,275080,Post Master,Excalibur,Excalibur Publishing,123,163,150000,154,0,152,0,99,1,0.43006993006993,0,0,0,1,0,0,1,0,0,0,0
9542,453670,The Lost Souls,GDNomaD,GDNomaD,86,94,150000,257,0,247,0,49,2,0.4777777777777778,0,0,0,1,0,0,0,0,0,0,0
9543,587450,Saurian,"Urvogel Games, LLC","Urvogel Games, LLC",996,558,150000,434,0,813,0,1499,6,0.640926640926641,0,0,0,1,0,0,1,1,0,0,0
